"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","3102","05/31/2024","Hacking/IT Incident","Network Server","No",""
"FC Compassus, LLC ","TN","Healthcare Provider","1383","05/31/2024","Hacking/IT Incident","Email","No",""
"Lakeview Health Systems, LLC","FL","Healthcare Provider","10772","05/29/2024","Hacking/IT Incident","Network Server","No",""
"Orchard Park Fire District EMS","NY","Healthcare Provider","2089","05/29/2024","Hacking/IT Incident","Email","No",""
"Fora Health, Inc.","OR","Healthcare Provider","1568","05/28/2024","Hacking/IT Incident","Email","No",""
"Florida Digestive Health Specialists, LLP","FL","Healthcare Provider","3205","05/27/2024","Hacking/IT Incident","Network Server","No",""
"iCircle Services of the Finger Lakes, Inc.","NY","Health Plan","3414","05/24/2024","Hacking/IT Incident","Email","No",""
"Montefiore Einstein Advance Care","NY","Healthcare Provider","2356","05/24/2024","Hacking/IT Incident","Network Server","No",""
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","252214","05/24/2024","Hacking/IT Incident","Network Server","No",""
"A&A Services d/b/a Sav-Rx","NE","Business Associate","2812336","05/24/2024","Hacking/IT Incident","Network Server","Yes",""
"Moffitt Cancer Center and Research Institute","FL","Healthcare Provider","756","05/24/2024","Unauthorized Access/Disclosure","Other","No",""
"City of St. Cloud","FL","Health Plan","501","05/24/2024","Hacking/IT Incident","Network Server","No",""
"ALN Medical Management, LLC","NE","Business Associate","501","05/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Summit Healthcare Regional Medical Center","AZ","Healthcare Provider","905","05/23/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Tri-City Healthcare District","CA","Healthcare Provider","108149","05/23/2024","Hacking/IT Incident","Network Server","No",""
"Trionfo Solutions, LLC","IL","Business Associate","81588","05/22/2024","Hacking/IT Incident","Network Server","Yes",""
"McLean Hospital","MA","Healthcare Provider","2231","05/21/2024","Unauthorized Access/Disclosure","Email","No",""
"County of Los Angeles Department of Mental Health ","CA","Healthcare Provider","1598","05/20/2024","Hacking/IT Incident","Network Server","No",""
"Multnomah County Health Department","OR","Healthcare Provider","1092","05/20/2024","Unauthorized Access/Disclosure","Laptop","No",""
"Omni Healthcare Financial Holdings","NC","Business Associate","16852","05/18/2024","Hacking/IT Incident","Other","Yes",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","400000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Call 4 Health, Inc.","FL","Business Associate","10434","05/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center","TX","Healthcare Provider","80000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Brockton Area Multi Services, Inc.","MA","Healthcare Provider","21537","05/16/2024","Hacking/IT Incident","Network Server","No",""
"Pope & Conner Consulting, Inc.","WI","Business Associate","1035","05/15/2024","Hacking/IT Incident","Email","Yes",""
"Tobii Dynavox","PA","Healthcare Provider","1098","05/14/2024","Hacking/IT Incident","Email","No",""
"Hypertension-Nephrology Associates, P.C. ","PA","Healthcare Provider","39491","05/14/2024","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Badalamenti-Ferlito Orthodontics","MI","Healthcare Provider","1427","05/14/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Superior Air-Ground Ambulance Service, Inc. ","IL","Healthcare Provider","858238","05/10/2024","Hacking/IT Incident","Network Server","No",""
"Children's Health Care","MN","Healthcare Provider","24183","05/10/2024","Hacking/IT Incident","Email","No",""
"Precision Medical Products Inc.","CA","Healthcare Clearing House","1094","05/09/2024","Hacking/IT Incident","Email","No",""
"Texas Panhandle Centers","TX","Healthcare Provider","16394","05/09/2024","Hacking/IT Incident","Network Server","No",""
"WebTPA Employer Services, LLC (“WebTPA”)","TX","Business Associate","2518533","05/08/2024","Hacking/IT Incident","Network Server","Yes",""
"1st Choice Home Care","AR","Healthcare Provider","2700","05/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Winter Haven Hospital","FL","Healthcare Provider","2101","05/08/2024","Unauthorized Access/Disclosure","Email","No",""
"Delta Specialty Hospital","TN","Healthcare Provider","1019","05/08/2024","Unauthorized Access/Disclosure","Email","No",""
"Watson Clinic","FL","Healthcare Provider","280187","05/08/2024","Hacking/IT Incident","Network Server","No",""
"Allina Health System","MN","Healthcare Provider","715","05/06/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Kenneth Young Center","IL","Healthcare Provider","501","05/06/2024","Hacking/IT Incident","Network Server","No",""
"Columbia University Irving Medical Center","NY","Healthcare Provider","29629","05/06/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Redwood Coast Regional Center","CA","Healthcare Provider","500","05/03/2024","Hacking/IT Incident","Network Server","No",""
"Panoramic Health","AZ","Business Associate","5445","05/03/2024","Hacking/IT Incident","Email","Yes",""
"Aetna ACE","CT","Health Plan","9191","05/03/2024","Hacking/IT Incident","Network Server","Yes",""
"MedStar Health, Inc.","MD","Healthcare Provider","183079","05/03/2024","Hacking/IT Incident","Email","No",""
"Grayson & Associates","AL","Healthcare Provider","573","05/03/2024","Hacking/IT Incident","Desktop Computer","No",""
"Marpai Health","NY","Healthcare Provider","1129","05/02/2024","Hacking/IT Incident","Email","No",""
"United Seating and Mobility, L.L.C., d/b/a Numotion","TN","Healthcare Provider","602265","05/01/2024","Hacking/IT Incident","Network Server","No",""
"UnitedHealthcare Insurance Company","CT","Business Associate","16665","05/01/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Merchants Benefit Administration","AZ","Health Plan","767","04/30/2024","Hacking/IT Incident","Email","No",""
"Allergy Medical Group of the North Area, Inc.","CA","Healthcare Provider","6934","04/29/2024","Hacking/IT Incident","Network Server","No",""
"AMERICAN RENAL MANAGEMENT","TN","Business Associate","501","04/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Signature Healthcare Services LLC","CA","Business Associate","14696","04/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Guardant Health, Inc.","CA","Healthcare Provider","9309","04/26/2024","Unauthorized Access/Disclosure","Other","No",""
"LivaNova USA, Inc.","TX","Business Associate","180000","04/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Forefront Dermatology, S.C. d/b/a Premier Dermatology","IL","Healthcare Provider","2297","04/26/2024","Hacking/IT Incident","Email","No",""
"OrthoConnecticut PLLC","CT","Healthcare Provider","178742","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Aspire Health Alliance","MA","Healthcare Provider","17490","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Justice Resource Institute","MA","Healthcare Provider","23118","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Empath-Stratum Inc. doing business as  Empath Health","FL","Healthcare Provider","5545","04/25/2024","Hacking/IT Incident","Email","No",""
"Therapeutic Health Services ","WA","Healthcare Provider","501","04/25/2024","Hacking/IT Incident","Network Server","No",""
"County of Los Angeles Departments of Health Services and Public Health","CA","Healthcare Provider","252856","04/25/2024","Hacking/IT Incident","Email","No",""
"Kootenai Health","ID","Healthcare Provider","464088","04/24/2024","Hacking/IT Incident","Network Server","No",""
"Cape Fear Aesthetics","NC","Healthcare Provider","1165","04/23/2024","Hacking/IT Incident","Network Server","No",""
"Blackstone Valley Community Health Care","RI","Healthcare Provider","34518","04/22/2024","Hacking/IT Incident","Network Server","No",""
"The Prudential Insurance Company of America","NJ","Health Plan","36092","04/22/2024","Hacking/IT Incident","Network Server","No",""
"Bluebonnet Trails Community Services","TX","Healthcare Provider","76165","04/22/2024","Hacking/IT Incident","Email","No",""
"South Texas Oncology and Hematology, PLLC","TX","Healthcare Provider","175195","04/19/2024","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Cumberland Heights Foundation, Inc. ","TN","Healthcare Provider","5078","04/19/2024","Hacking/IT Incident","Email","No",""
"Bridgeway Center, Inc.","FL","Healthcare Provider","36353","04/19/2024","Hacking/IT Incident","Network Server","No",""
"Green Diamond Resource Company","WA","Health Plan","8172","04/19/2024","Hacking/IT Incident","Network Server","No",""
"Montgomery County Board of Developmental Disabilities Services","OH","Business Associate","8819","04/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Tobin, Carberry, O'Malley, Riley & Selinger, P.C.","CT","Business Associate","47106","04/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider","2282","04/17/2024","Hacking/IT Incident","Email","No",""
"Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine","ID","Healthcare Provider","5000","04/17/2024","Hacking/IT Incident","Network Server","No",""
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan","13400000","04/12/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Rebound Orthopedics & Neurosurgery","WA","Healthcare Provider","500","04/10/2024","Hacking/IT Incident","Network Server","No",""
"American Healthcare Systems LLC dba Randolph Health ","NC","Healthcare Provider","899","04/10/2024","Hacking/IT Incident","Email","No",""
"Spurwink Services, Inc.","MS","Healthcare Provider","27332","04/09/2024","Hacking/IT Incident","Network Server","No",""
"Knowles Smith & Associates, d/b/a Village Family Dental ","NC","Healthcare Provider","240214","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Group Health Cooperative of South Central Wisconsin","WI","Health Plan","533809","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Island Ambulatory Surgery Center, LLC ","NY","Healthcare Provider","7900","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Sleep Management Institute","OH","Healthcare Provider","500","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Gaia Software, LLC","CO","Business Associate","56676","04/05/2024","Hacking/IT Incident","Network Server","Yes",""
"BlueCross BlueShield of Tennessee, Inc. ","TN","Business Associate","550","04/05/2024","Unauthorized Access/Disclosure","Other","Yes",""
"Jackson Medical Center, LLC","AL","Healthcare Provider","509","04/05/2024","Hacking/IT Incident","Network Server","No",""
"ZSFG Hospital and Trauma Center","CA","Healthcare Provider","755","04/04/2024","Loss","Paper/Films","No",""
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee","TN","Healthcare Provider","29000","04/04/2024","Hacking/IT Incident","Network Server","No",""
"Cattaraugus-Allegany Board of Cooperative Education Services","NY","Business Associate","15203","04/04/2024","Hacking/IT Incident","Network Server","Yes",""
"UNC Hospitals","NC","Healthcare Provider","3142","04/02/2024","Hacking/IT Incident","Email","No",""
"Advanced Care Hospital of Montana","MT","Healthcare Provider","2331","04/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Continuum Health Alliance, LLC","NJ","Business Associate","1328","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Rutgers Robert Wood Johnson Medical School","NJ","Healthcare Provider","543","04/01/2024","Unauthorized Access/Disclosure","Email","No",""
"University of Tennessee Health Science Center","TN","Healthcare Provider","19353","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Otolaryngology Associates, LLC","IN","Healthcare Provider","316802","04/01/2024","Hacking/IT Incident","Network Server","No",""
"Northern Virginia Oral, Maxillofacial & Implant Surgery ","VA","Healthcare Provider","4333","03/29/2024","Hacking/IT Incident","Network Server","No",""
"PRATT MRI LLC","KS","Business Associate","4265","03/29/2024","Loss","Other Portable Electronic Device","Yes",""
"Delta Health System","MS","Healthcare Provider","216532","03/29/2024","Hacking/IT Incident","Network Server","No",""
"South Texas Rehabilitation Hospital","TX","Healthcare Provider","4130","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northern Indiana","IN","Healthcare Provider","1643","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northern Arizona ","AZ","Healthcare Provider","3287","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Mesquite Rehabilitation Institute ","TX","Healthcare Provider","3317","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Utah Rehabilitation Hospital","UT","Healthcare Provider","3477","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Idaho Advanced Care Hospital","ID","Healthcare Provider","5606","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"County of Los Angeles Department of Health Services - Olive View-UCLA Medical Center","CA","Healthcare Provider","3716","03/29/2024","Theft","Paper/Films","No",""
"Mesquite Specialty Hospital ","TX","Healthcare Provider","1244","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Laredo Specialty Hospital","TX","Healthcare Provider","1242","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Laredo Rehabilitation Hospital","TX","Healthcare Provider","1785","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Elkhorn Valley Rehabilitation Hospital","WY","Healthcare Provider","3636","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Spartanburg Rehabilitation Institute","SC","Healthcare Provider","4506","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Weslaco Regional Rehabilitation Hospital","TX","Healthcare Provider","2781","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Utah Valley Rehabilitation Hospital","UT","Healthcare Provider","1642","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Trustpoint Rehabilitation Hospital of Lubbock","TX","Healthcare Provider","9014","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Denver Regional Rehabilitation Hospital","CO","Healthcare Provider","848","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Summa Rehabilitation Hospital","OH","Healthcare Provider","2986","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Bloomington Regional Rehabilitation Hospital","IN","Healthcare Provider","1191","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of the Northwest","ID","Healthcare Provider","3821","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Southern New Mexico","NM","Healthcare Provider","5466","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Bakersfield Rehabilitation Hospital","CA","Healthcare Provider","852","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Southern California","CA","Healthcare Provider","925","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider","3671","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Colorado Rehabilitation Hospital","CO","Healthcare Provider","885","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Colorado Long Term Acute Hospital","CO","Healthcare Provider","4335","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"New Braunfels Regional Rehabilitation Hospital","TX","Healthcare Provider","5384","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Mountain Valley Regional Rehabilitation Hospital","AZ","Healthcare Provider","5963","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Advanced Care Hospital of Southern New Mexico","NM","Healthcare Provider","1162","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Midlands Regional Rehabilitation Hospital","SC","Healthcare Provider","2018","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider","2861","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Greenwood Regional Rehabilitation Hospital","SC","Healthcare Provider","5823","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider","3581","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Highmark","PA","Health Plan","5356","03/29/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Florida Pediatric Associates, LLC ","FL","Healthcare Provider","1104","03/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Strive Holdco, LLC","TX","Healthcare Provider","51477","03/28/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Risas Dental & Braces","PA","Healthcare Provider","618189","03/28/2024","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","1956","03/27/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Washington County Department of Human Services","PA","Healthcare Provider","13583","03/26/2024","Hacking/IT Incident","Network Server","No",""
"Baytown Medical Center, L.P.","TX","Healthcare Provider","1500","03/25/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Pembina County Memorial Hospital","ND","Healthcare Provider","23811","03/25/2024","Hacking/IT Incident","Network Server","No",""
"Family Health Center ","MI","Healthcare Provider","33240","03/24/2024","Hacking/IT Incident","Network Server","No",""
"Mary H. Makhlouf, DMD, MS, PA","NC","Healthcare Provider","1797","03/22/2024","Hacking/IT Incident","Network Server","No",""
"Ethos, also known as Southwest Boston Senior Services","MA","Business Associate","14503","03/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Emergency Medical Services Authority","OK","Healthcare Provider","611743","03/22/2024","Hacking/IT Incident","Network Server","No",""
"Lakewood Medical Center, PC","CO","Healthcare Provider","2500","03/21/2024","Hacking/IT Incident","Network Server","No",""
"M&D Capital Premier Billing LLC","NY","Business Associate","284326","03/21/2024","Hacking/IT Incident","Network Server","Yes",""
"City of Conneaut","OH","Healthcare Provider","771","03/21/2024","Hacking/IT Incident","Email","No",""
"Battle Mountain General Hospital","NV","Healthcare Provider","3000","03/21/2024","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Western New York Independent Living, Inc.","NY","Healthcare Provider","2886","03/19/2024","Hacking/IT Incident","Network Server","No",""
"Ezras Choilim Health Center, Inc.","NY","Healthcare Provider","59861","03/19/2024","Hacking/IT Incident","Network Server","No",""
"Valley Oaks Health ","IN","Healthcare Provider","50034","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Bonney Forge Corporation","PA","Health Plan","672","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Andor Labs","NC","Healthcare Provider","500","03/18/2024","Theft","Laptop","No",""
"Sycamore Rehabilitation Services, Inc.","IN","Healthcare Provider","3414","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Weirton Medical Center","WV","Healthcare Provider","26793","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Aveanna Healthcare","GA","Healthcare Provider","65482","03/15/2024","Hacking/IT Incident","Email","No",""
"Cornerstone Healthcare Group Management Services LLC","KY","Business Associate","500","03/14/2024","Hacking/IT Incident","Network Server","Yes",""
"Bronson Healthcare Group","MI","Healthcare Provider","1597","03/13/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Plymouth Tube Company Employee Benefit Plan","IL","Health Plan","2652","03/13/2024","Hacking/IT Incident","Network Server","No",""
"A5 PHARMACY INC.","NY","Healthcare Provider","3000","03/13/2024","Hacking/IT Incident","Network Server","No",""
"Lindsay Municipal Hospital","OK","Healthcare Provider","500","03/13/2024","Hacking/IT Incident","Email","No",""
"Healthfirst (consisting of those plans under Healthfirst PHSP, Inc., Healthfirst Health Plan, Inc., and Healthfirst Insurance Company, Inc.","NY","Health Plan","6836","03/13/2024","Unauthorized Access/Disclosure","Other","No",""
"Newton Centre Dental","MA","Healthcare Provider","2547","03/12/2024","Unauthorized Access/Disclosure","Email","No",""
"CCM Health","MN","Healthcare Provider","84329","03/12/2024","Hacking/IT Incident","Network Server","No",""
"R1 RCM Inc.","IL","Business Associate","16121","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Texas Health and Human Services ","TX","Health Plan","3392","03/11/2024","Unauthorized Access/Disclosure","Email","No",""
"Rancho Family Medical Group, Inc.","CA","Healthcare Provider","10480","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Blue Ridge Pediatric & Adolescent Medicine, Inc.","NC","Healthcare Provider","39282","03/11/2024","Hacking/IT Incident","Network Server","No",""
"UC San Diego Health Hillcrest- Hillcrest Medical Center","CA","Healthcare Provider","1642","03/08/2024","Hacking/IT Incident","Email","No",""
"Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider","1433","03/08/2024","Hacking/IT Incident","Email","No",""
"Jewish Home Lifecare, Inc. ","NY","Healthcare Provider","501","03/08/2024","Hacking/IT Incident","Network Server","No",""
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics","CA","Healthcare Provider","2260","03/07/2024","Hacking/IT Incident","Network Server","No",""
"Dental Group of Amarillo","TX","Healthcare Provider","3821","03/06/2024","Hacking/IT Incident","Network Server","No",""
"Orthopedic Associates of Flower Mound PLLC","TX","Healthcare Provider","1759","03/06/2024","Hacking/IT Incident","Email","No",""
"Seaglass Chiropractic","NJ","Healthcare Provider","650","03/06/2024","Theft","Laptop, Other Portable Electronic Device","No",""
"University of Wisconsin Hospitals and Clinics Authority ","WI","Healthcare Provider","85902","03/05/2024","Hacking/IT Incident","Email","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","1251","03/05/2024","Hacking/IT Incident","Network Server","No",""
"Vail Summit Orthopaedics, LLC (“VSON”)","CO","Healthcare Provider","1138","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Bay Surgical Specialists, LLC","FL","Healthcare Provider","1505","03/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Lake of the Woods County Social Services","MN","Healthcare Provider","537","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Yakima Valley Radiology, PC","WA","Healthcare Provider","235249","03/01/2024","Hacking/IT Incident","Network Server","No",""
"Cherry Street Services, Inc. d/b/a Cherry Health ","MI","Healthcare Provider","181005","02/29/2024","Hacking/IT Incident","Network Server","No",""
"DGA-Producer Pension & Health Plans","CA","Health Plan","4211","02/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Highland Health Systems","AL","Healthcare Provider","83543","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Kirkland & Ellis LLP","IL","Business Associate","48802","02/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Eastern Radiologists, Inc","NC","Healthcare Provider","886746","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Ada Technologies, Inc. ","OH","Health Plan","2398","02/29/2024","Hacking/IT Incident","Network Server","No",""
"kmj Health Solutions","MI","Business Associate","2191","02/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Oakland Community Health Network","MI","Health Plan","607","02/28/2024","Unauthorized Access/Disclosure","Email","No",""
"Northeast Orthopedics and Sports Medicine, PLLC","NY","Healthcare Provider","177101","02/27/2024","Hacking/IT Incident","Network Server","No",""
"Community Health Group Partnership Plan","CA","Health Plan","708","02/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Ascend Healthcare Management LLC","AZ","Healthcare Provider","791","02/26/2024","Hacking/IT Incident","Other","No",""
"Scurry County Hospital District dba Cogdell Memorial Hospital","TX","Healthcare Provider","86981","02/24/2024","Hacking/IT Incident","Network Server","No",""
"MedQ, Inc.","TX","Business Associate","54725","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Bold Quail Holdings, LLC (NewGen Administrative Services, LLC) ","CA","Healthcare Provider","105425","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"UNITE HERE ","NY","Business Associate","791273","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Santa Clarita Community College District","CA","Health Plan","2324","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Prague Regional Memorial Hospital ","OK","Healthcare Provider","1347","02/22/2024","Hacking/IT Incident","Email","No",""
"Washington County Hospital and Nursing Home","AL","Healthcare Provider","29346","02/22/2024","Hacking/IT Incident","Network Server","No",""
"Lamont Hanley & Associates, Inc.","NH","Business Associate","22216","02/22/2024","Hacking/IT Incident","Email","Yes",""
"interventional Pain and Regenerative Medicine","TX","Healthcare Provider","2843","02/21/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity","NC","Healthcare Provider","19085","02/20/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Egyptian Health Department ","IL","Healthcare Provider","100000","02/20/2024","Hacking/IT Incident","Network Server","No",""
"McKenzie County Healthcare System, Inc.","ND","Healthcare Provider","21000","02/16/2024","Unauthorized Access/Disclosure","Email","No",""
"Hospice of Huntington","WV","Healthcare Provider","9013","02/16/2024","Hacking/IT Incident","Network Server","No",""
"CareFirst BlueCross BlueShield Community Health Plan – District of Columbia","DC","Business Associate","2189","02/16/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider","75667","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Employee Benefits Corporation of America and Benefit Design Group, Inc.","VA","Health Plan","38912","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Qualcomm Incorporated","CA","Health Plan","27038","02/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Amin Radiology d/b/a Citrus Diagnostic Center ","FL","Healthcare Provider","1273","02/15/2024","Hacking/IT Incident","Network Server","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","790","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Lena Pope Home Inc.","TX","Healthcare Provider","3954","02/15/2024","Hacking/IT Incident","Email","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","3480","02/14/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider","1096","02/14/2024","Hacking/IT Incident","Network Server","No",""
"City of Dubuque Fire Department","IA","Healthcare Provider","1381","02/14/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","755","02/14/2024","Hacking/IT Incident","Email","No",""
"Biomatrix Specialty Pharmacy, LLC ","FL","Healthcare Provider","3640","02/13/2024","Hacking/IT Incident","Network Server","No",""
"Lexington Health, Inc.","SC","Healthcare Provider","1994","02/12/2024","Hacking/IT Incident","Email, Other","No",""
"May Institute ","MA","Healthcare Provider","3318","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Erie Indemnity Company Group Dental Assistance Plan","PA","Health Plan","3122","02/12/2024","Hacking/IT Incident","Network Server","Yes",""
"AGC Flat Glass North America, Inc. Welfare Benefits Plan","GA","Health Plan","13079","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Coleman Professional Services Inc. ","OH","Healthcare Provider","51889","02/12/2024","Hacking/IT Incident","Email","No",""
"Tiegerman","NY","Healthcare Provider","19000","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Prime Healthcare Employee Health Plan","CA","Health Plan","101135","02/09/2024","Hacking/IT Incident","Network Server","Yes",""
"CBIZ Marks Paneth, LLC","OH","Business Associate","5562","02/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","748","02/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server, Other","No",""
"Liberty Hospital","MO","Healthcare Provider","501","02/08/2024","Hacking/IT Incident","Network Server","No",""
"Medical Management Resource Group, L.L.C.","AZ","Business Associate","2350236","02/06/2024","Hacking/IT Incident","Network Server","Yes",""
"The Bengtson Center for Aesthetics and Plastic Surgery","MI","Healthcare Provider","935","02/05/2024","Unauthorized Access/Disclosure","Desktop Computer, Network Server","No",""
"Spectrum Vision Partners","NY","Business Associate","500","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Greater Cincinnati Behavioral Health Services ","OH","Healthcare Provider","50000","02/02/2024","Hacking/IT Incident","Network Server","No",""
"East Side Health District","IL","Healthcare Provider","559","02/02/2024","Hacking/IT Incident","Network Server","No",""
"Health Alliance Medical Plans","IL","Health Plan","6900","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
